Rk,Team,W/L%,MOV/A,ORtg/A,DRtg/A,NRtg/A
,,,,,,
1,Milwaukee Bucks,.732,8.05,113.89,106.23,7.66
2,Golden State Warriors,.695,6.42,116.60,110.24,6.37
3,Toronto Raptors,.707,5.49,113.78,108.40,5.38
4,Utah Jazz,.610,5.29,111.23,105.94,5.28
5,Houston Rockets,.646,4.97,116.45,111.43,5.03
6,Portland Trail Blazers,.646,4.44,115.63,111.01,4.62
7,Denver Nuggets,.659,4.20,113.74,109.35,4.39
8,Boston Celtics,.598,3.90,112.57,108.69,3.88
9,Oklahoma City Thunder,.598,3.56,110.71,107.22,3.49
10,Indiana Pacers,.585,2.76,110.31,107.50,2.80
11,Philadelphia 76ers,.622,2.26,113.16,110.97,2.19
12,San Antonio Spurs,.585,1.81,113.30,111.42,1.88
13,Los Angeles Clippers,.585,1.09,113.29,112.22,1.06
14,Orlando Magic,.512,0.28,109.26,109.05,0.21
15,Miami Heat,.476,-0.45,108.03,108.39,-0.36
16,Brooklyn Nets,.512,-0.40,110.15,110.56,-0.41
17,Detroit Pistons,.500,-0.55,109.86,110.38,-0.53
18,Sacramento Kings,.476,-0.81,111.29,112.00,-0.71
19,Dallas Mavericks,.402,-0.86,110.29,111.08,-0.79
20,Minnesota Timberwolves,.439,-1.02,112.31,113.32,-1.01
21,New Orleans Pelicans,.402,-1.10,111.98,112.98,-1.01
22,Los Angeles Lakers,.451,-1.32,108.46,109.71,-1.26
23,Charlotte Hornets,.476,-1.31,112.11,113.41,-1.30
24,Memphis Grizzlies,.402,-2.08,106.93,109.09,-2.17
25,Washington Wizards,.390,-3.30,111.72,114.97,-3.25
26,Atlanta Hawks,.354,-6.06,108.83,114.59,-5.76
27,Chicago Bulls,.268,-8.32,105.49,113.90,-8.41
28,Phoenix Suns,.232,-8.61,106.59,115.11,-8.52
29,New York Knicks,.207,-8.92,105.31,114.30,-8.98
30,Cleveland Cavaliers,.232,-9.39,108.83,118.64,-9.82